Event,Site,Date,White,Black,Result,WhiteElo,BlackElo,ECO,Opening,Termination
Casual classical game,https://lichess.org/P5QWKFGO,2023.04.04,Roman2206,peterchero,0-1,1376,1500,B00,,Normal
Casual rapid game,https://lichess.org/zlRJCsm9,2023.04.03,DanSpielt,peterchero,1-0,1533,1502,C20,,Normal
Casual bullet game,https://lichess.org/HESjqPoZ,2023.03.31,KarlheinzRumgedisse,peterchero,0-1,1500,1324,A15,,Normal
Casual rapid game,https://lichess.org/BwXgHuiA,2023.03.31,Wolftail,peterchero,1-0,1500,1502,A40,,Normal
Casual rapid game,https://lichess.org/vNiUH1E6,2023.03.31,Alekhine01,peterchero,1-0,1459,1502,C51,,Normal
Casual rapid game,https://lichess.org/Q3VBZ8xC,2023.03.30,cbm01,peterchero,0-1,1500,1502,C50,,Time forfeit
Casual rapid game,https://lichess.org/xt9uvzmn,2023.03.30,Myshakhan,peterchero,0-1,1527,1502,C44,,Normal
Casual rapid game,https://lichess.org/DH9R6xBZ,2023.03.30,benjapuelles,peterchero,0-1,1500,1502,A00,,Time forfeit
Casual blitz game,https://lichess.org/A94ioTUr,2024.09.02,elliotsimpson_hf,peterchero,0-1,1217,1415,D77,,Normal
Rated blitz game,https://lichess.org/5QWqHtsL,2023.03.29,Batur12412,peterchero,0-1,1108,1141,C25,,Normal
Rated blitz game,https://lichess.org/op0gSzKR,2023.03.29,TiggaPersh,peterchero,1-0,1149,1150,A04,,Normal
Rated bullet game,https://lichess.org/dvLRYrON,2023.03.28,egegundogan,peterchero,0-1,1276,1274,A25,,Normal
Rated blitz game,https://lichess.org/uyiBZ8Zz,2023.03.28,jbaniwas,peterchero,1-0,1144,1152,C50,,Time forfeit
Rated blitz game,https://lichess.org/XrVNVttk,2023.03.26,itsmeyaser1,peterchero,0-1,993,1138,C45,,Normal
Rated blitz game,https://lichess.org/vKaXiysD,2023.03.26,BOODY2120,peterchero,0-1,1015,1131,C44,,Normal
Rated blitz game,https://lichess.org/kC02DLuu,2023.03.26,BOODY2120,peterchero,0-1,1024,1116,C44,,Normal
Rated blitz game,https://lichess.org/fnl4zZ20,2023.03.25,marconev,peterchero,0-1,1088,1108,D00,,Time forfeit
Rated blitz game,https://lichess.org/4Tr4Qk6x,2023.03.25,ngey,peterchero,1-0,1080,1114,C41,,Normal
Rated blitz game,https://lichess.org/0VGT4ERf,2023.03.25,Carnyx,peterchero,1/2-1/2,1183,1104,C41,,Normal
Casual rapid game,https://lichess.org/523blcRJ,2024.08.29,serhzik,peterchero,1/2-1/2,1500,1507,C29,,Time forfeit
Casual blitz game,https://lichess.org/ScWbhvwK,2023.03.25,StrongerThenYou,peterchero,0-1,1211,1104,C20,,Normal
Rated bullet game,https://lichess.org/dD2hKuK1,2023.03.24,getpost,peterchero,1-0,1217,1280,D06,,Time forfeit
Rated blitz game,https://lichess.org/jPsPFfGk,2023.03.24,XsyxSonic1,peterchero,0-1,1083,1091,C53,,Time forfeit
Rated blitz game,https://lichess.org/mC3I0JUI,2023.03.24,bucchin,peterchero,0-1,1171,1083,A00,,Time forfeit
Rated blitz game,https://lichess.org/xH3gxR28,2023.03.24,Zezo-BekoEgypt,peterchero,0-1,1087,1068,C20,,Time forfeit
Rated blitz game,https://lichess.org/e71ncRUQ,2023.03.24,Shihani_95,peterchero,1-0,1043,1066,C34,,Normal
Rated blitz game,https://lichess.org/xdTMBKsA,2023.03.24,zotny,peterchero,1/2-1/2,1023,1053,A01,,Normal
Casual bullet game,https://lichess.org/mfTalttC,2023.03.18,BingoBongo987,peterchero,1-0,1272,1290,C25,,Normal
Casual blitz game,https://lichess.org/Rmfmoh6q,2023.03.16,monolow,peterchero,1-0,1413,1070,D00,,Time forfeit
Casual rapid game,https://lichess.org/CemdyVX7,2023.03.15,Evgeniy508,peterchero,1-0,1646,1549,C01,,Normal
Rated blitz game,https://lichess.org/x0NjMqOX,2024.10.20,ChessPhenomenon,peterchero,1-0,1251,1356,D00,,Normal
Casual bullet game,https://lichess.org/zFGKsHcv,2024.08.27,osBTD,peterchero,1-0,1337,1400,C50,,Time forfeit
Casual blitz game,https://lichess.org/0SXa7bxh,2023.03.15,marco314159,peterchero,1-0,1468,1070,D06,,Normal
Rated rapid game,https://lichess.org/Gf77tCub,2023.02.27,paganoodle,peterchero,1-0,1625,1599,C50,,Normal
Rated rapid game,https://lichess.org/H9LGa0LG,2023.02.26,TristanAsmara,peterchero,0-1,1591,1521,D02,,Normal
Rated bullet game,https://lichess.org/F51awk8P,2023.02.24,MARIO1962,peterchero,1-0,1375,1316,A22,,Time forfeit
Rated blitz game,https://lichess.org/lY1aHh2K,2023.02.23,furkan35x,peterchero,0-1,1036,1056,B00,,Normal
Rated blitz game,https://lichess.org/7sJtGv4P,2023.02.23,Jasper2003,peterchero,1-0,1161,1067,C25,,Normal
Rated rapid game,https://lichess.org/gxLYCQki,2023.02.23,Himanshu_75,peterchero,0-1,1498,1426,C50,,Normal
Rated rapid game,https://lichess.org/dq60T5OU,2023.02.23,Alfilcaballuno,peterchero,0-1,1335,1322,A40,,Normal
Casual rapid game,https://lichess.org/3MYmAq1i,2023.01.27,jool,peterchero,1-0,1605,1322,C45,,Normal
Rated blitz game,https://lichess.org/m5UepJmy,2023.01.25,Monsoonroad,peterchero,1-0,1059,1066,C44,,Normal
Casual bullet game,https://lichess.org/zhH32QB7,2024.08.17,Japan0708,peterchero,0-1,1302,1400,D30,,Normal
Casual blitz game,https://lichess.org/JzFzk7tF,2023.01.25,tibasbh,peterchero,0-1,1278,1066,C40,,Normal
Casual blitz game,https://lichess.org/BlRZYsba,2023.01.25,MoDi2233,peterchero,1-0,1500,1066,C44,,Normal
Casual rapid game,https://lichess.org/tZ8YetWK,2023.01.25,Nan_Htike1,peterchero,1-0,1475,1322,C56,,Normal
Rated blitz game,https://lichess.org/2C2FLrDE,2023.01.25,RoxasCapiz,peterchero,0-1,1070,1050,C23,,Time forfeit
Rated blitz game,https://lichess.org/WoDWGNbg,2023.01.25,MixShadow,peterchero,1-0,992,1053,B00,,Normal
Rated blitz game,https://lichess.org/TVHildl9,2023.01.25,AlmatKing,peterchero,1-0,1070,1055,C22,,Normal
Rated blitz game,https://lichess.org/Fd5zW3I1,2023.01.25,octornadopus,peterchero,1-0,972,1067,C44,,Normal
Rated blitz game,https://lichess.org/H1cBCe5l,2023.01.25,Insecto35,peterchero,0-1,1006,1048,A01,,Time forfeit
Rated blitz game,https://lichess.org/ygQliAWo,2023.01.25,exportarts,peterchero,1-0,1094,1101,C44,,Normal
Rated blitz game,https://lichess.org/ulUlZyFL,2023.01.25,pinedo14,peterchero,1-0,1221,1104,D00,,Normal
Casual rapid game,https://lichess.org/Rq0Ec8TS,2024.08.06,Aluap_74,peterchero,0-1,1454,1507,A48,,Normal
Rated blitz game,https://lichess.org/BMmd0zaE,2023.01.25,Bizaman,peterchero,1-0,1157,1132,B00,,Normal
Casual bullet game,https://lichess.org/MzAUaWrU,2023.01.25,Uoiia,peterchero,1-0,1589,1274,C44,,Normal
Casual bullet game,https://lichess.org/O4aagjIo,2023.01.25,lobito50,peterchero,0-1,1609,1274,D02,,Time forfeit
Casual blitz game,https://lichess.org/GaCK85Ph,2023.01.25,izakkar,peterchero,0-1,1443,1100,C44,,Time forfeit
Casual blitz game,https://lichess.org/pa2FFEzg,2023.01.24,WOLF_ALBERTO,peterchero,0-1,1217,1100,C44,,Normal
Casual blitz game,https://lichess.org/7YowE1uJ,2023.01.24,DISKORDIER1982,peterchero,0-1,1308,1100,D20,,Normal
Casual blitz game,https://lichess.org/XRap3Uv3,2023.01.23,Keyfi_baj,peterchero,0-1,1047,1100,B00,,Normal
Casual rapid game,https://lichess.org/5bm9OLuD,2023.01.23,ljeanbb64,peterchero,1-0,1343,1322,D02,,Time forfeit
Casual rapid game,https://lichess.org/8ntvMhau,2023.01.23,dominika1399,peterchero,0-1,844,1322,C50,,Normal
Casual bullet game,https://lichess.org/0GucbPXw,2023.01.20,Hueter-der-Feste,peterchero,1-0,1189,1274,C44,,Time forfeit
Casual classical game,https://lichess.org/5dOgB5uZ,2024.08.06,krit123456,peterchero,0-1,1050,1500,C44,,Normal
Casual classical game,https://lichess.org/r8NiIIjE,2023.01.20,Daveass,peterchero,1-0,1500,1500,C36,,Normal
Casual rapid game,https://lichess.org/319kwZQa,2023.01.20,Willi293,peterchero,1-0,1127,1322,D00,,Time forfeit
Casual blitz game,https://lichess.org/xCKf2IKt,2023.01.20,jilet-altan,peterchero,0-1,810,1100,C20,,Normal
Casual rapid game,https://lichess.org/FkYJc6dq,2023.01.19,karokan1,peterchero,1-0,1500,1322,C45,,Time forfeit
Casual blitz game,https://lichess.org/7y0DqVTw,2023.01.19,kaCzmi120,peterchero,0-1,803,1100,C20,,Normal
Rated blitz game,https://lichess.org/bSLQ0VqP,2023.01.18,Desmodue270,peterchero,0-1,1056,1101,C22,,Time forfeit
Casual rapid game,https://lichess.org/m2xfeCzU,2023.01.18,ILO_Martin,peterchero,1-0,1198,1322,C50,,Normal
Rated blitz game,https://lichess.org/hhDL0wq2,2023.01.04,patgne,peterchero,1-0,1149,1143,C50,,Normal
Rated blitz game,https://lichess.org/KBDCBs19,2023.01.04,scaccomattooooo,peterchero,0-1,965,1114,C65,,Normal
Casual bullet game,https://lichess.org/RQIN3TSF,2023.01.01,SciFiCarrot,peterchero,0-1,892,1306,A01,,Time forfeit
Casual blitz game,https://lichess.org/JsVi2rRC,2024.08.06,Jazzfanatic,peterchero,1-0,1375,1415,A41,,Normal
Casual blitz game,https://lichess.org/ZkdGOUzc,2022.12.29,ayushbharti167,peterchero,1-0,1169,1075,A40,,Normal
Casual blitz game,https://lichess.org/FfPYr7uM,2022.12.29,omprakashILU,peterchero,0-1,1500,1075,D01,,Normal
Casual bullet game,https://lichess.org/nOJMF18z,2022.12.29,myai2036,peterchero,0-1,1055,1306,C50,,Time forfeit
Casual bullet game,https://lichess.org/PjtZ9Llv,2022.12.29,RevolioClockberg,peterchero,0-1,1412,1306,C54,,Normal
Casual blitz game,https://lichess.org/plNcCzyr,2022.12.29,anghello3,peterchero,1-0,1256,1075,C51,,Normal
Casual bullet game,https://lichess.org/Nv814i8l,2022.12.29,Sardash,peterchero,0-1,938,1306,C57,,Time forfeit
Casual blitz game,https://lichess.org/dNE5hX6t,2022.12.29,anghello3,peterchero,0-1,1256,1075,C51,,Normal
Casual rapid game,https://lichess.org/UFNbYden,2022.12.16,GoGoJa,peterchero,0-1,1393,1322,A01,,Normal
Casual rapid game,https://lichess.org/LkmI3ha7,2022.12.16,GoGoJa,peterchero,1-0,1393,1322,A01,,Normal
Casual rapid game,https://lichess.org/yirLaHP0,2022.12.12,Oslo58,peterchero,0-1,982,1322,C20,,Normal
Casual bullet game,https://lichess.org/tQd0zc0d,2024.08.06,peradajz,peterchero,1-0,1422,1400,C34,,Normal
Casual blitz game,https://lichess.org/Vud3nrIP,2022.12.07,Rookie_2,peterchero,1-0,1144,1075,C46,,Time forfeit
Casual rapid game,https://lichess.org/EKHBS6Ef,2022.12.07,UKrasnal,peterchero,0-1,1129,1322,D06,,Normal
Casual blitz game,https://lichess.org/A05dq6ND,2022.12.07,rafaelrsantos2,peterchero,0-1,906,1075,C50,,Normal
Casual blitz game,https://lichess.org/26aATvHc,2022.12.05,Julosp,peterchero,0-1,1183,1075,C20,,Normal
Casual blitz game,https://lichess.org/huyksWFo,2022.12.02,pinu,peterchero,1-0,924,1075,B00,,Time forfeit
Casual bullet game,https://lichess.org/EY7f1RnD,2022.12.02,CVO30,peterchero,1-0,1231,1306,C20,,Normal
Casual bullet game,https://lichess.org/eolO5fXP,2022.12.02,luigi_el_peon,peterchero,0-1,1111,1306,C64,,Time forfeit
Casual blitz game,https://lichess.org/Ay4mcn0K,2022.12.02,enragasza,peterchero,1-0,1299,1075,C50,,Normal
Casual bullet game,https://lichess.org/OLIpXdr7,2022.12.02,alexqrt,peterchero,1-0,1317,1306,C44,,Normal
Casual blitz game,https://lichess.org/Lat3Dnu2,2022.12.02,Megin19,peterchero,0-1,1028,1075,C24,,Normal
Casual classical game,https://lichess.org/Q7OudSb1,2024.08.05,isbajwa005,peterchero,0-1,1500,1500,D00,,Normal
Casual blitz game,https://lichess.org/w7HprwnN,2022.12.02,DerekTop777,peterchero,0-1,1024,1075,D04,,Normal
Casual blitz game,https://lichess.org/3ZqJOAtZ,2022.12.02,Filmaty98,peterchero,0-1,1184,1075,C33,,Normal
Casual rapid game,https://lichess.org/O3d7ZQIK,2022.12.02,eazie101,peterchero,1-0,856,1322,C50,,Normal
Casual bullet game,https://lichess.org/fjzzVfny,2022.12.02,ShirtGambit,peterchero,1-0,1142,1306,B00,,Normal
Casual bullet game,https://lichess.org/PIdwS4U8,2022.12.02,ShirtGambit,peterchero,1-0,1142,1306,B00,,Normal
Casual blitz game,https://lichess.org/2pMTqR3v,2022.12.01,iloveyou59,peterchero,0-1,920,1075,B00,,Normal
Rated rapid game,https://lichess.org/PgUqwNcZ,2022.11.21,PastorJR,peterchero,0-1,1186,1203,D00,,Normal
Rated blitz game,https://lichess.org/xBmVeokl,2022.10.19,biochimera,peterchero,1/2-1/2,1001,1088,C00,,Normal
Rated bullet game,https://lichess.org/AbvDmDpY,2022.10.19,Jochaps,peterchero,0-1,1278,1277,C45,,Normal
Rated bullet game,https://lichess.org/J40wOzYd,2022.10.19,eka_iswandie,peterchero,0-1,1255,1239,A00,,Time forfeit
Casual blitz game,https://lichess.org/8fEZtPlx,2024.08.05,ZUV_1969,peterchero,1-0,1500,1415,D00,,Normal
Rated bullet game,https://lichess.org/r1J5Ogl4,2022.10.19,rmian525,peterchero,1-0,1264,1281,C44,,Normal
Rated rapid game,https://lichess.org/lZDDRaaf,2022.10.17,dastpak383383,peterchero,0-1,1088,944,C65,,Normal
Rated bullet game,https://lichess.org/lNuVrhFb,2022.10.16,Sberka,peterchero,0-1,1103,1196,C55,,Time forfeit
Casual bullet game,https://lichess.org/pgCrMHlR,2022.10.14,GlenRichards,peterchero,1-0,1445,1256,A16,,Time forfeit
Casual blitz game,https://lichess.org/jvSaJ12J,2022.10.14,santalucia,peterchero,1-0,1387,1148,A00,,Normal
Casual UltraBullet game,https://lichess.org/jq2joFpt,2022.10.14,JIMENITO_elguapo007,peterchero,1-0,1720,1500,A04,,Time forfeit
Casual rapid game,https://lichess.org/uTwWHfGJ,2022.10.14,RedBusRob,peterchero,1-0,1788,1500,D00,,Normal
Rated bullet game,https://lichess.org/zjagDr8j,2022.10.12,Rulfaschess,peterchero,1-0,1280,1342,D06,,Normal
Casual blitz game,https://lichess.org/s8iT1nrV,2022.03.01,TeguhPras08,peterchero,1-0,1302,1148,B00,,Normal
Casual rapid game,https://lichess.org/NrONNiFD,2022.02.23,mydrall,peterchero,1-0,1500,1500,C28,,Normal
Casual blitz game,https://lichess.org/ewpfVTGk,2024.08.05,ZUV_1969,peterchero,0-1,1500,1415,D00,,Normal
Casual blitz game,https://lichess.org/G4Dcmkc8,2022.02.23,joewie919,peterchero,0-1,1156,1148,C50,,Normal
Casual blitz game,https://lichess.org/HKTP1nRB,2022.02.23,joewie919,peterchero,0-1,1156,1148,C45,,Normal
Casual rapid game,https://lichess.org/YyGGLGBW,2022.02.23,msvn,peterchero,1-0,1528,1500,C45,,Normal
Casual bullet game,https://lichess.org/1QzBLg0K,2022.02.23,michaelscholz,peterchero,0-1,1490,1342,C60,,Normal
Casual rapid game,https://lichess.org/3JW7GqEg,2022.02.21,GV_1980,peterchero,0-1,1299,1500,E90,,Normal
Casual blitz game,https://lichess.org/vk9DSqGQ,2022.02.21,Edson1sub1,peterchero,1-0,1318,1148,C44,,Normal
Casual bullet game,https://lichess.org/2QDXGSiV,2022.02.21,LAAM22,peterchero,1-0,1288,1342,C44,,Normal
Casual bullet game,https://lichess.org/pw9bvA0S,2022.02.21,Russia_without_Putin,peterchero,1-0,1828,1342,D02,,Normal
Rated bullet game,https://lichess.org/IgEBW2Gm,2022.02.20,Hermann12,peterchero,0-1,1203,1220,C50,,Normal
Rated blitz game,https://lichess.org/uFInBLQ7,2022.02.20,IBEL1,peterchero,0-1,1110,1109,C44,,Time forfeit
Casual UltraBullet game,https://lichess.org/20CIInul,2024.08.04,snithik999,peterchero,0-1,1500,1500,C20,,Time forfeit
Rated blitz game,https://lichess.org/8I1o7kic,2022.02.20,mertkozdereli,peterchero,0-1,1183,1050,C20,,Normal
Rated blitz game,https://lichess.org/EHsxxAEr,2022.02.20,paivagdante,peterchero,1-0,1122,1095,A00,,Time forfeit
Rated blitz game,https://lichess.org/veXpdLJ7,2022.02.20,oladi89,peterchero,0-1,995,1013,C50,,Normal
Rated blitz game,https://lichess.org/haIY9cmk,2022.02.20,Asymov,peterchero,1-0,1317,1188,B00,,Normal
Rated blitz game,https://lichess.org/qVVdVJjj,2022.02.20,MrAbhishekRawat,peterchero,1-0,1405,1500,A07,,Time forfeit
Rated bullet game,https://lichess.org/5euEw6kt,2022.01.26,kayahan34,peterchero,0-1,1282,1210,C20,,Normal
Casual bullet game,https://lichess.org/kSx2a73c,2021.02.23,linustechtips,peterchero,1-0,1500,1500,A00,,Normal
Casual bullet game,https://lichess.org/4pg1CuYg,2021.02.23,linustechtips,peterchero,0-1,1500,1500,C46,,Time forfeit
Rated blitz game,https://lichess.org/5yaONJED,2024.10.20,peterchero,jalavi,1-0,1337,1319,A40,,Normal
Casual blitz game,https://lichess.org/sJ5yjWjm,2024.10.18,peterchero,Boris-Trapsky,0-1,1356,2022,D02,,Normal
Rated blitz game,https://lichess.org/yyGogLD2,2024.10.18,bodjajmustapha,peterchero,1-0,1406,1359,C50,,Normal
Casual UltraBullet game,https://lichess.org/HaaSQZur,2024.08.04,snithik999,peterchero,0-1,1500,1500,C20,,Time forfeit
Casual blitz game,https://lichess.org/JdfoMkIE,2024.10.18,peterchero,maia5,1-0,1356,1490,A40,,Normal
Casual blitz game,https://lichess.org/1gKpGt5B,2024.10.18,peterchero,maia5,0-1,1356,1490,D02,,Normal
Casual blitz game,https://lichess.org/6Q0DAOBx,2024.10.18,peterchero,maia1,1-0,1356,1430,D02,,Normal
Rated blitz game,https://lichess.org/jXXSDGnI,2024.10.18,peterchero,Vinicius_chess,1-0,1345,1252,D02,,Normal
Rated blitz game,https://lichess.org/T6o3A9cQ,2024.10.17,peterchero,bodjajmustapha,0-1,1375,1401,A40,,Normal
Rated blitz game,https://lichess.org/X6OPnvkt,2024.10.17,peterchero,bodjajmustapha,0-1,1371,1402,D02,,Normal
Rated blitz game,https://lichess.org/az8QgxpV,2024.10.17,peterchero,takestakestake,0-1,1413,1391,D02,,Normal
Rated blitz game,https://lichess.org/b41F0U6d,2024.10.15,peterchero,ruheesharma,1-0,1396,1402,D02,,Normal
Rated blitz game,https://lichess.org/iHCDwX1a,2024.10.15,peterchero,PANGLIMASAGO_1812,1-0,1392,1398,A00,,Normal
Rated blitz game,https://lichess.org/h74aOXbg,2024.10.15,peterchero,Andrey_Kl,1-0,1378,1422,D02,,Time forfeit
Casual UltraBullet game,https://lichess.org/1f20p4oM,2024.08.04,snithik999,peterchero,0-1,1500,1500,C20,,Time forfeit
Casual rapid game,https://lichess.org/IABOUv9b,2024.10.09,peterchero,Roel987,1-0,1507,1421,A40,,Normal
Casual rapid game,https://lichess.org/zHPihfXY,2024.10.07,peterchero,motaz24,1-0,1507,1485,A45,,Normal
Casual classical game,https://lichess.org/WAlMx3nI,2024.10.06,peterchero,Hopen123,1-0,1500,1444,D02,,Time forfeit
Casual blitz game,https://lichess.org/cqUvG3Hn,2024.10.06,peterchero,BlessAndSVG,1-0,1415,1500,D00,,Normal
Casual bullet game,https://lichess.org/s1eD5qJF,2024.10.02,peterchero,Bearchess22,0-1,1400,1470,A00,,Normal
Casual bullet game,https://lichess.org/QM5uryo2,2024.10.02,peterchero,Bearchess22,0-1,1400,1470,A41,,Normal
Casual classical game,https://lichess.org/OuYcvOeE,2024.10.02,peterchero,kamalanarayanan,1-0,1500,1500,D02,,Normal
Casual blitz game,https://lichess.org/005YVRVl,2024.10.01,peterchero,mehmetsumbul,0-1,1415,1500,D02,,Time forfeit
Casual bullet game,https://lichess.org/qCSvSxxg,2024.10.01,peterchero,Jean_Peuplu,1-0,1400,1407,D02,,Time forfeit
Casual blitz game,https://lichess.org/caqusmW9,2024.10.01,peterchero,brilliantfool47,1-0,1415,1261,D02,,Normal
Casual UltraBullet game,https://lichess.org/DxntcYe7,2024.08.04,snithik999,peterchero,0-1,1500,1500,B02,,Time forfeit
Casual rapid game,https://lichess.org/vW9YNylX,2024.09.30,peterchero,karito1971l,1-0,1507,1500,A40,,Normal
Casual bullet game,https://lichess.org/Uy17LkcO,2024.09.26,peterchero,Salva1976,0-1,1400,1231,D02,,Time forfeit
Casual rapid game,https://lichess.org/cPvbiFH3,2024.09.25,peterchero,Emmirg,1-0,1507,1577,D02,,Normal
Casual rapid game,https://lichess.org/lJAmeoWM,2024.09.16,peterchero,tekgoldenyatan,1-0,1507,1500,A43,,Normal
Casual blitz game,https://lichess.org/Au7AHxj3,2024.09.04,peterchero,Whyissodidicult,0-1,1415,1500,A00,,Normal
Casual blitz game,https://lichess.org/vEIeMgxW,2024.09.04,peterchero,Whyissodidicult,0-1,1415,1500,D02,,Normal
Casual blitz game,https://lichess.org/mrY1ll42,2024.09.02,peterchero,elliotsimpson_hf,1-0,1415,1217,A49,,Normal
Casual rapid game,https://lichess.org/2Rs4P6g4,2024.08.28,peterchero,brunellal413,1-0,1507,1496,D02,,Normal
Casual blitz game,https://lichess.org/d446GrGv,2024.08.27,peterchero,Schachmatt23,0-1,1415,1315,A40,,Time forfeit
Casual rapid game,https://lichess.org/FaxH8VTG,2024.08.26,peterchero,KIN_GIM_RAN,0-1,1507,1398,A46,,Time forfeit
Casual blitz game,https://lichess.org/UO2wTrsi,2024.08.03,longarik,peterchero,1-0,1500,1415,D20,,Time forfeit
Casual bullet game,https://lichess.org/lM0wvzye,2024.08.17,peterchero,Japan0708,1-0,1400,1302,D02,,Normal
Casual bullet game,https://lichess.org/Na3XkzYe,2024.08.10,peterchero,Salva1976,1-0,1400,1340,D02,,Normal
Casual blitz game,https://lichess.org/XSCCi1lo,2024.08.06,peterchero,DerHund,1-0,1415,1432,A40,,Normal
Casual blitz game,https://lichess.org/DPIdm6Dk,2024.08.06,peterchero,Jazzfanatic,1-0,1415,1375,A43,,Time forfeit
Casual blitz game,https://lichess.org/e09UN76C,2024.08.05,peterchero,ZUV_1969,1-0,1415,1500,A43,,Normal
Casual UltraBullet game,https://lichess.org/JgxFF9Ej,2024.08.04,peterchero,snithik999,1-0,1500,1500,D02,,Time forfeit
Casual UltraBullet game,https://lichess.org/5XlEPigg,2024.08.04,peterchero,snithik999,1-0,1500,1500,D02,,Normal
Casual UltraBullet game,https://lichess.org/cDSFkEup,2024.08.04,peterchero,snithik999,0-1,1500,1500,B01,,Time forfeit
Casual UltraBullet game,https://lichess.org/3fE74dIq,2024.08.04,peterchero,snithik999,0-1,1500,1500,A06,,Time forfeit
Casual UltraBullet game,https://lichess.org/IkuRLOZY,2024.08.04,peterchero,snithik999,1-0,1500,1500,D02,,Time forfeit
Casual blitz game,https://lichess.org/K9AWEAce,2024.08.03,Taksh55555,peterchero,1-0,1332,1415,C24,,Normal
Casual bullet game,https://lichess.org/EhBzAr7j,2024.08.03,peterchero,Big-Falcon001,1-0,1400,1337,A46,,Time forfeit
Casual blitz game,https://lichess.org/alIXXUOg,2024.08.03,peterchero,Taksh55555,0-1,1415,1332,D02,,Normal
Casual rapid game,https://lichess.org/HUflPTIB,2024.08.02,peterchero,Schachmatt23,1-0,1507,1433,A40,,Normal
Casual bullet game,https://lichess.org/RSUtxgYl,2024.08.02,peterchero,nithishpsg,0-1,1400,1476,A43,,Normal
Casual UltraBullet game,https://lichess.org/1toF3JDs,2024.08.01,peterchero,Marco_Reus_bvb,1-0,1500,1500,D02,,Time forfeit
Casual blitz game,https://lichess.org/qa4GSNeT,2024.07.27,peterchero,sfrm31,0-1,1415,1424,D02,,Normal
